"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
STR_TERJESKILL_FISH_LUCKMAGNET,Four-Leaf Clover,Four-Leaf Clover,Magnet štěstí,Glücksmagnet,Магнит удачи,Magnes szczęścia,Sok Szerencsét Mágnes,Magnete di buona fortuna,Imán de la suerte,Trèfle à Quatre Feuilles,好運磁鐵,開運マグネット,Ímã da sorte,好运磁铁,
STR_TERJESKILL_FISH_LUCKMAGNET_DES,"Your are so lucky that your chances to catch valuable items is significantly increased. Each cast can bring not only garbage, but also unexpected treasures.","Your are so lucky that your chances to catch valuable items is significantly increased. Each cast can bring not only garbage, but also unexpected treasures.","Vaše vyhledávací dovednosti s magnetem jsou tak dokonalé, že šance na vylovení cenných předmětů je výrazně zvýšena. Každý hod může přinést nejen odpadky, ale i nečekané poklady.","Ihre Suchfähigkeiten mit einem Magneten sind so perfekt, dass die Chance, wertvolle Gegenstände zu fangen, erheblich erhöht ist. Jeder Wurf kann nicht nur Müll, sondern auch unerwartete Schätze bringen.","Ваши поисковые навыки с магнитом настолько совершенны, что шанс выловить ценные предметы значительно увеличен. Каждый заброс может принести не только мусор, но и неожиданные сокровища.","Masz tyle szczęścia, że twoje szanse na złapanie cennych przedmiotów znacznie wzrosły. Każdy rzut może przynieść nie tylko śmieci, ale także nieoczekiwane skarby.","A mágneses Keresési készségei annyira tökéletesek, hogy jelentősen megnő az esély az értékes tárgyak elkapására. Minden öntvény nemcsak szemetet, hanem váratlan kincseket is hozhat.","Le tue abilità di ricerca con il magnete sono così perfette che la possibilità di pescare oggetti di valore è notevolmente aumentata. Ogni lancio può portare non solo spazzatura, ma anche tesori inaspettati.","Sus habilidades de búsqueda con el imán son tan perfectas que la posibilidad de capturar objetos valiosos se incrementa considerablemente. Cada lanzamiento puede traer no solo basura, sino también tesoros inesperados.","Vous avez tellement de chance que vous trouvez des objets de valeur en pêchant. Chaque lancer peut rapporter non seulement des déchets, mais aussi des trésors inattendus.",你太幸運了，獲得貴重物品的機會大大增加。每次釣魚不只帶來垃圾，現在能帶來意想不到的寶藏。,磁石であなたの検索スキルは貴重なアイテムをキャッチする機会が大幅に増加するように完璧です。 各キャストはゴミだけでなく、予期しない宝物も持ってくることができます。,"Suas habilidades de busca com um ímã são tão perfeitas que a chance de pegar itens valiosos é significativamente aumentada. Cada jogo pode trazer não apenas lixo, mas também tesouros inesperados.",你太幸運了，獲得貴重物品的機會大大增加。每次釣魚不只帶來垃圾，現在能帶來意想不到的寶藏。,
STR_TERJESKILL_FISH_REMROT,Cutting Rot,Cutting Rot,Řezání hniloby,Fäulnis ausschneiden,Вырезание гнили,Cięcie zgnilizny,A rothadás kivágása,Scolpire il marciume,Cortar la podredumbre,Découpe de la Pourriture,切割腐爛,腐敗を切り取る,Corte de podridão,切割腐烂,
STR_TERJESKILL_FISH_REMROT_DES,Your fish cutting skills make it easy to remove rotten areas while keeping the meat as fit as possible. Even a damaged catch can be saved.,Your fish cutting skills make it easy to remove rotten areas while keeping the meat as fit as possible. Even a damaged catch can be saved.,Vaše dovednosti v oblasti krájení ryb vám umožní snadno odstranit shnilé oblasti a zároveň udržet maso co nejpohodlnější. I poškozený úlovek se dá zachránit.,"Ihre Fähigkeiten beim Schneiden von Fischen ermöglichen es Ihnen, faule Bereiche leicht zu entfernen, während Sie das Fleisch so gut wie möglich halten. Selbst ein beschädigter Fang kann gerettet werden.","Ваши навыки разделки рыбы позволяют с легкостью удалять гнилые участки, сохраняя максимально пригодное мясо. Даже поврежденный улов можно спасти.","Twoje umiejętności cięcia ryb ułatwiają usuwanie zepsutych obszarów, zachowując najlepsze możliwe mięso. Możesz uratować nawet uszkodzone ryby.","Halvágási képességei megkönnyítik a rothadt területek eltávolítását, miközben a hús a lehető legmegfelelőbb marad. Még egy sérült fogás is menthető.","Le tue abilità di macellazione del pesce ti consentono di rimuovere facilmente le aree marce, mantenendo la carne più adatta possibile. Anche una cattura danneggiata può essere salvata.","Sus habilidades de corte de pescado le permiten eliminar las áreas podridas con facilidad, manteniendo la carne lo más adecuada posible. Incluso la captura dañada se puede salvar.",Vos compétences en découpe de poisson facilitent le retrait des zones pourries tout en conservant les filets aussi sains que possible. Même une prise endommagée peut être sauvée.,您的切魚技巧可以讓您輕鬆去除腐爛的區域，同時盡可能保持魚肉的完整。即使受損的漁獲也可以挽救。,あなたの魚の切断スキルは、肉をできるだけフィットさせながら腐った部分を簡単に取り除くことを可能にします。 損傷したキャッチでさえも救うことができます。,"Suas habilidades de corte de peixe permitem que você remova facilmente áreas podres, mantendo a carne mais adequada. Mesmo uma captura danificada pode ser salva.",您的切魚技巧可以讓您輕鬆去除腐爛的區域，同時盡可能保持魚肉的完整。即使受損的漁獲也可以挽救。,
STR_TERJESKILL_FISH_WORMHUNTER,Worms Digger,Worms Digger,Lovec červů,Wurmjäger,Охотник на червей,Łowca robaków,A Worm Hunter,Cacciatore di vermi,Cazador de gusanos,Chasseur de Vers,蠕蟲獵人,ワームハンター,Caçador de vermes,蠕虫猎人,
STR_TERJESKILL_FISH_WORMHUNTER_DES,Each of your digs brings in more worms than usual. Your experience and attentiveness allow you to find more worms in one dig.,Each of your digs brings in more worms than usual. Your experience and attentiveness allow you to find more worms in one dig.,Každé vykopání přináší více červů než obvykle. Vaše zkušenosti a ohleduplnost vám umožní najít více červů v jednom otvoru.,"Jedes Graben bringt mehr Würmer als gewöhnlich mit sich. Ihre Erfahrung und Sorgfalt ermöglicht es Ihnen, mehr Würmer in einem einzigen Graben zu finden.","Каждое ваше выкапывание приносит больше червей, чем обычно. Ваш опыт и внимательность позволяют находить больше червей за одну вскопку.",Każde wykopanie przynosi więcej robaków niż zwykle. Twoje doświadczenie i uwaga pozwalają znaleźć więcej robaków podczas każdego kopania.,"Mindegyik ásatása a szokásosnál több férget hoz be. Tapasztalata és figyelmessége lehetővé teszi, hogy több férget találjon egy ásásban.",Ogni scavo che fai porta più vermi del solito. La tua esperienza e attenzione ti consentono di trovare più vermi in un unico scavo.,Cada excavación trae más gusanos de lo normal. Su experiencia y atención le permiten encontrar más gusanos en una excavación.,Chacune de vos fouilles rapporte plus de vers que d'habitude. Votre expérience et votre attention vous permettent de trouver plus de vers.,每次挖掘都會帶來比平常更多的蠕蟲。您的經驗和細心使您能夠在一次挖掘中找到更多的蠕蟲。,あなたの掘り出し物のそれぞれは、通常よりも多くのワームをもたらします。 あなたの経験と注意力は、あなたが1つの発掘でより多くのワームを見つけることを可能にします。,Cada escavação traz mais vermes do que o habitual. Sua experiência e atenção permitem que você encontre mais vermes em uma escavação.,每次挖掘都會帶來比平常更多的蠕蟲。您的經驗和細心使您能夠在一次挖掘中找到更多的蠕蟲。,
STR_TERJESKILL_FISH_CRAFTSMAN,Craftsman,Craftsman,Mistr kutil,Meister der selbstgemachte,Мастер самоделок,Mistrz domowej roboty,DIY kézműves,Maestro fai-da-te,Maestro de bricolaje,Artisan,DIY工匠,DIY職人,Mestre caseiro,工匠,
STR_TERJESKILL_FISH_CRAFTSMAN_DES,"You have learned how to create homemade fishing rods and tackle from improvised tools. With each new perk level, the quality of the items you create improves.","You have learned how to create homemade fishing rods and tackle from improvised tools. With each new perk level, the quality of the items you create improves.",Naučili jste se vyrábět domácí pruty a náčiní z domácích prostředků. S každou novou úrovní perku se kvalita vytvořených položek zlepšuje.,"Sie haben gelernt, selbstgemachte Angelruten und Tackle aus improvisierten Mitteln zu erstellen. Mit jeder neuen Stufe des Perks verbessert sich die Qualität der erstellten Gegenstände.",Вы научились создавать самодельные удочки и снасти из подручных средств. С каждым новым уровнем перка качество создаваемых предметов улучшается.,Nauczyłeś się tworzyć domowe wędki i sprzęt wędkarski z improwizowanych narzędzi. Z każdym nowym poziomem atutu jakość tworzonych przez ciebie przedmiotów rośnie.,"Megtanultad, hogyan készíthetsz házi horgászbotokat és kezelheted a rögtönzött eszközöket. Minden új perk szinttel javul a létrehozott elemek minősége.","Hai imparato a creare canne da pesca e attrezzatura fatte in casa da mezzi improvvisati. Con ogni nuovo livello di vantaggio, la qualità degli oggetti creati migliora.","Has aprendido a crear cañas de pescar caseras y aparejos a partir de herramientas improvisadas. Con cada nuevo nivel de beneficio, la calidad de los artículos creados mejora.","Vous avez appris à créer des Cannes à pêche et des engins improvisés. Avec chaque nouveau niveau d'avantage, la qualité des objets créés s'améliore.",您已經學會如何使用簡易工具製作自製釣竿和釣具。隨著每個新等級的提高，您所創造的物品的品質都會提高。,あなたは自家製の釣り竿を作り、即興の道具から取り組む方法を学びました。 新しい特典レベルごとに、作成するアイテムの品質が向上します。,"Você aprendeu a criar varas de pesca caseiras e equipamentos a partir de meios improvisados. A cada novo nível de vantagem, a qualidade dos itens criados melhora.",您已經學會如何使用簡易工具製作自製釣竿和釣具。隨著每個新等級的提高，您所創造的物品的品質都會提高。,
STR_TERJESKILL_FISH_TENSIONCONTROL,Tension Control,Tension Control,Kontrola napětí,Kontrolle der Spannung,Контроль натяжения,Kontrola napięcia,Feszültségszabályozás,Controllo della tensione,Control de tensión,Contrôle de la Tension,張力控制,張力制御,Controle de tensão,张力控制,
STR_TERJESKILL_FISH_TENSIONCONTROL_DES,"You perfectly control the tension of the fishing line, reducing the risk of its rupture. The chances of losing fish while fishing are significantly reduced, allowing you to pull out prey more often.","You perfectly control the tension of the fishing line, reducing the risk of its rupture. The chances of losing fish while fishing are significantly reduced, allowing you to pull out prey more often.","Dokonale ovládáte napětí vlasce, čímž snížíte riziko prasknutí vlasce. Šance, že ztratíte rybu při vyklízení, se výrazně snižují, což vám umožní vytáhnout kořist častěji.","Sie steuern die Spannung der Angelschnur perfekt und reduzieren das Risiko, dass sie reißt. Die Chancen, Fische zu verlieren, während Sie gezüchtet werden, sind stark reduziert, sodass Sie die Beute häufiger herausziehen können.","Вы идеально контролируете натяжение лески, снижая риск её разрыва. Шансы потерять рыбу при вываживании значительно уменьшаются, позволяя вам чаще вытаскивать добычу.","Masz doskonałą kontrolę nad naprężeniem linki, zmniejszając ryzyko jej zerwania. Szanse na utratę ryby podczas łowienia są znacznie zmniejszone, dzięki czemu możesz częściej wyciągać ryby.","Ön tökéletesen ellenőrzi a horgászzsinór feszültségét, csökkentve annak szakadásának kockázatát. Jelentősen csökken a halak elvesztésének esélye a halászat során, ami lehetővé teszi, hogy gyakrabban húzza ki a zsákmányt.","Controlli perfettamente la tensione della lenza, riducendo il rischio di strapparla. Le possibilità di perdere il pesce durante l'allevamento sono notevolmente ridotte, permettendoti di estrarre la preda più spesso.","Usted controla perfectamente la tensión de la línea de Pesca, reduciendo el riesgo de que se rompa. Las posibilidades de perder peces al salir se reducen significativamente, lo que le permite sacar presas con más frecuencia.","Vous contrôlez parfaitement la tension de la ligne, réduisant le risque de rupture. Les chances de perdre du poisson pendant la pêche sont significativement réduites, vous permettant de remonter plus souvent des prises.",您可以完美地控制釣魚線的張力，從而降低其斷裂的風險。釣魚時丟失魚的可能性大大降低，使您能夠更頻繁地捕獲獵物。,あなたは釣り糸の張力を完全に制御し、その破裂の危険性を減らします。 釣り中に魚を失う可能性が大幅に減少し、獲物をより頻繁に引き出すことができます。,"Você controla perfeitamente a tensão da linha de pesca, reduzindo o risco de ruptura. As chances de perder o peixe durante a eclosão são significativamente reduzidas, permitindo que você puxe a presa com mais frequência.",您可以完美地控制釣魚線的張力，從而降低其斷裂的風險。釣魚時丟失魚的可能性大大降低，使您能夠更頻繁地捕獲獵物。,
STR_TERJESKILL_FISHING_NAME,FISHING,FISHING,RYBOLOV,ANGELN,РЫБАЛКА,WĘDKARSTWO,HALÁSZAT,PESCA,PESCA,PÊCHE,釣魚,釣り,PESCA,釣魚,
STR_TERJESKILL_HUNTING_MOD0,Increases the number of meat cuts obtained from skinning by,Increases the number of meat cuts obtained from skinning by,Zvyšuje počet kusů masa přijatých při krájení jatečně upravených zvířat s každou úrovní na,"Erhöht die Anzahl der Fleischstücke, die beim Schneiden von Tierkadaver mit jedem Level erhalten werden",Увеличивает количество кусков мяса получаемых при разделке туш животных с каждым уровнем на,Zwiększa liczbę kawałków mięsa uzyskanych podczas rozbioru tusz zwierzęcych o każdy poziom o,Növeli az állati tetemek minden szinten történő vágásakor kapott húsdarabok számát,Aumenta il numero di pezzi di carne ottenuti tagliando le carcasse di animali con ogni livello,Aumenta el número de trozos de carne obtenidos al cortar cadáveres de animales con cada nivel en,Augmente le nombre de morceaux de viande obtenus en dépeçant de,增加剝皮後獲得的肉塊數量,各レベルで動物の死骸を切断するときに得られる肉片の数を増加させます,Aumenta o número de pedaços de carne obtidos ao cortar carcaças de animais a cada nível,增加剝皮後獲得的肉塊數量,
STR_TERJESKILL_SURVIVAL_MOD2,Reduces the time needed to start a fire by,Reduces the time needed to start a fire by,Zkraťte čas potřebný pro rozdělání ohně na,"Verkürzt die Zeit, die benötigt wird, um ein Lagerfeuer zu züchten",Скоращает время необходимое для разведения костра на,Skraca czas potrzebny do rozpalenia ognia o,Csökkenti a tábortűz felépítéséhez szükséges időt,Aumenta il tempo necessario per accendere un fuoco,Reduce el tiempo necesario para encender el fuego,Réduit le temps nécessaire pour allumer un feu de,減少起火時間,キャンプファイヤーを構築するために必要な時間を短縮します,O tempo necessário para fazer uma fogueira,減少起火時間,
STR_TERJESKILLS_CRAFT_CUT_ROTTEN,Cut out the rot,Cut out the rot,Řez hniloby,Fäulnis ausschneiden,Вырезать гниль,Wytnij zgniliznę,Vágja ki a rothadást,Tagliare il marciume,Cortar la podredumbre,Retirer la pourriture,切掉腐爛的東西,腐敗を切り取る,Corte a podridão,切掉腐烂的东西,
STR_TERJESKILL_SURVIVAL_DESC,"The Survival skill category provides access to abilities that help you endure this harsh world. Train this skill by killing infected creatures, making bonfires and surviving longer.","The Survival skill category provides access to abilities that help you endure this harsh world. Train this skill by killing infected creatures, making bonfires and surviving longer.","Dovednost přežití vám otevírá řadu dovedností, které vám pomohou přežít v tomto drsném světě. Chcete-li trénovat dovednosti, zabijte infikované a udělejte ohně. Postavy s dlouhou životností také získávají další zkušenosti pro úspěšné přežití.","Die Überlebensfähigkeit eröffnet Ihnen eine Reihe von Fähigkeiten, die Ihnen helfen, in dieser rauen Welt zu überleben. Um die Fertigkeit zu trainieren, töte die Infizierten und mache Lagerfeuer. Charaktere mit einer langen Lebensdauer sammeln auch zusätzliche Erfahrung für ein erfolgreiches Überleben.","Навык выживания открывает перед вами ряд умений, которые помогут вам выжить в этом суровом мире. Чтобы тренировать навык, убивайте зараженных и разводите костры. Персонажи с большой продолжительностью жизни также получают дополнительный опыт для успешного выживания.","Umiejętność przetrwania otwiera szereg umiejętności, które pomogą Ci przetrwać w tym trudnym świecie. Aby trenować tę umiejętność, zabijaj zarażonych ludzi i buduj ogniska. Postacie z długą średnią długością życia również zyskują dodatkowe doświadczenie za udane przetrwanie.","A túlélési képesség nyílik fel, hogy számos készségek, amely segít túlélni ebben a zord világban. Ahhoz, hogy a vonat a készség, öld meg a fertőzött, és tábortűz. Karakter hosszú élettartam is szert további tapasztalat, hogy a sikeres túlélés.","L'abilità di sopravvivenza ti apre a una serie di abilità che ti aiuteranno a sopravvivere in questo mondo duro. Per addestrare l'abilità, uccidere gli infetti e fare falò. I personaggi con una lunga durata acquisiscono anche ulteriore esperienza per la sopravvivenza di successo.","La habilidad de supervivencia te abre a una serie de habilidades que te ayudarán a sobrevivir en este duro mundo. Para entrenar la habilidad, mata a los infectados y haz hogueras. Los personajes con una larga vida útil también obtienen experiencia adicional para una supervivencia exitosa.","La catégorie de compétence Survie offre des capacités qui vous aident à endurer ce monde hostile. Entraînez cette compétence en tuant des créatures infectées, en faisant des feux de camp et en survivant plus longtemps.",生存技能為您打開了一些技能，將幫助您在這個嚴酷的世界中生存。 為了訓練技能，殺死被感染的人並制造篝火。 壽命長的角色也會獲得成功生存的額外經驗。,生存スキルは、あなたがこの過酷な世界で生き残るのに役立ちますスキルの数にあなたを開きます。 スキルを訓練するには、感染した人を殺して焚き火を作ります。 長い寿命を持つ文字はまた、成功した生存のための追加の経験を得る。,"A habilidade de sobrevivência abre - lhe uma série de habilidades que irão ajudá-lo a sobreviver neste mundo cruel. Para treinar a habilidade, mate os infectados e faça fogueiras. Personagens com uma longa vida útil também ganham experiência adicional para uma sobrevivência bem-sucedida.",生存技能為您打開了一些技能，將幫助您在這個嚴酷的世界中生存。 為了訓練技能，殺死被感染的人並制造篝火。 壽命長的角色也會獲得成功生存的額外經驗。,
STR_TERJESKILL_STEALCH_DESC,The Stealth skill category makes you less visible to infected creatures and other survivors. Train this skill by moving stealthily and avoiding detection by the infected.,The Stealth skill category makes you less visible to infected creatures and other survivors. Train this skill by moving stealthily and avoiding detection by the infected.,"Dovednost stealth vám umožňuje být diskrétnější pro infikované a další přeživší. Chcete-li tuto dovednost trénovat, pohybujte se skrytě a nenechte se infikovat.","Die Stealth-Fähigkeit ermöglicht es Ihnen, für Infizierte und andere Überlebende unsichtbarer zu sein. Um diese Fähigkeit zu trainieren, bewegen Sie sich heimlich und fangen Sie nicht mit infizierten Augen an.",Навык скрытности позволяет вам быть более незаметным для зараженных и других выживших. Чтобы тренировать этот навык передвигайтесь скрытно и не попадаться на глаза зараженным.,"Umiejętność skradania się pozwala ci być bardziej niewidzialnym dla zainfekowanych i innych ocalałych. Aby ćwiczyć tę umiejętność, poruszaj się ukradkiem i unikaj bycia widzianym przez zarażonych.","A lopakodó képesség lehetővé teszi, hogy láthatatlanabb legyen a fertőzött és más túlélők számára. Ennek a képességnek a kiképzéséhez lopakodva mozogjon, és kerülje el, hogy a fertőzött láthassa.","L'abilità stealth ti consente di essere più invisibile agli infetti e ad altri sopravvissuti. Per allenare questa abilità, muoviti di nascosto e non attirare l'attenzione degli infetti.",La habilidad sigilosa te permite ser más sigiloso para los infectados y otros sobrevivientes. Para entrenar a esta habilidad moverse sigilosamente y no caer en los ojos infectados.,La catégorie de compétence Furtivité vous rend moins visible pour les créatures infectées et les autres survivants. Entraînez cette compétence en vous déplaçant furtivement et en évitant d'être détecté par les infectés.,隱身技能類別可使您不易被感染者和其他倖存者發現。透過秘密移動並避免被感染者發現來訓練這項技能。,ステルススキルを使用すると、感染した生存者や他の生存者には見えなくなります。 このスキルを訓練するには、こっそりと動き、感染した人に見られないようにします。,"A habilidade furtiva permite que você seja mais invisível para os infectados e outros sobreviventes. Para treinar essa habilidade, mova-se secretamente e não fique exposto aos infectados.",隱身技能類別可使您不易被感染者和其他倖存者發現。透過秘密移動並避免被感染者發現來訓練這項技能。,
STR_TERJESKILL_METABLSM_DESC,"The Metabolism skill category enables your body to process food more efficiently and, in its absence, to survive longer without harm to health. Train this skill by eating food and drinking water.","The Metabolism skill category enables your body to process food more efficiently and, in its absence, to survive longer without harm to health. Train this skill by eating food and drinking water.",Schopnost metabolismu umožňuje vašemu tělu absorbovat potravu efektivněji a v její nepřítomnosti přežít déle bez poškození zdraví. Jíst a pít vodu je dovednost.,"Die Fähigkeit des Stoffwechsels ermöglicht es Ihrem Körper, Nahrung effizienter zu verdauen und in ihrer Abwesenheit länger zu überleben, ohne die Gesundheit zu schädigen. Essen und Wasser zu essen trainiert die Fähigkeit.","Навык метаболизма позволяет вашему организму эффективнее усваивать пищу, а в ее отсутствие дольше выживать без вреда для здоровья. Употребление еды и воды тренирует навык.","Umiejętności metaboliczne pozwalają twojemu ciału trawić jedzenie bardziej efektywnie, a w przypadku jego braku, przetrwać dłużej bez uszczerbku na zdrowiu. Spożywanie jedzenia i wody trenuje tę umiejętność.","Az anyagcsere képessége lehetővé teszi a szervezet számára, hogy hatékonyabban megemésztse az ételt, távollétében pedig hosszabb ideig fennmaradjon az egészség károsítása nélkül. Az étel és a víz edzi a készségeket.","L'abilità metabolica consente al tuo corpo di assorbire il cibo in modo più efficiente e, in sua assenza, sopravvivere più a lungo senza danni alla salute. Bere cibo e acqua allena l'abilità.","La habilidad metabólica le permite a su cuerpo absorber los alimentos de manera más eficiente y, en su ausencia, sobrevivir más tiempo sin dañar la salud. Comer alimentos y agua entrena la habilidad.","La catégorie de compétence Métabolisme permet à votre corps de traiter la nourriture plus efficacement et, en son absence, de survivre plus longtemps sans nuire à la santé. Entraînez cette compétence en mangeant et en buvant de l'eau.",新陳代謝技能類別使您的身體能夠更有效地處理食物，並且在缺乏食物的情況下，可以存活更長時間而不會損害健康。透過吃食物和喝水來訓練這項技能。,代謝のスキルは、あなたの体がより効率的に食物を消化することを可能にし、その不在下では健康に害を及ぼすことなくより長く生き残る。 食べ物と水を食べることはスキルを訓練します。,"A habilidade metabólica permite que seu corpo absorva os alimentos de forma mais eficiente e, na ausência deles, sobreviva por mais tempo sem prejudicar a saúde. Comer e beber água treina a habilidade.",新陳代謝技能類別使您的身體能夠更有效地處理食物，並且在缺乏食物的情況下，可以存活更長時間而不會損害健康。透過吃食物和喝水來訓練這項技能。,
STR_TERJESKILL_HUNTING_DESC,"The Hunting skill category allows you to hunt animals more effectively, butcher their carcasses, and set traps. Train this skill by hunting and butchering animals.","The Hunting skill category allows you to hunt animals more effectively, butcher their carcasses, and set traps. Train this skill by hunting and butchering animals.","Lovecká dovednost vám umožní efektivněji lovit divoká zvířata, porážet jejich mrtvá těla a vytvářet a nastavovat pasti. Lov a porážení těl zvířat trénuje tuto dovednost.","Die Jagdfertigkeit ermöglicht es Ihnen, wilde Tiere effektiver zu jagen, ihre Kadaver zu schlachten und Fallen zu bauen und zu stellen. Das Jagen und Schlachten von Tierkadavern trainiert diese Fähigkeit.","Навык охоты позволяет вам более эффективно охотиться на диких животных, разделывать их туши, а также создавать и устанавливать ловушки. Охота и разделка туш животных тренирует этот навык.","Umiejętność polowania pozwala ci na bardziej efektywne polowanie na dzikie zwierzęta, rozcinanie ich zwłok oraz tworzenie i zastawianie pułapek. Polowanie i rozcinanie zwłok zwierząt trenuje tę umiejętność.","A vadászati készség lehetővé teszi a vadon élő állatok hatékonyabb vadászatát, a hasított testek lemészárlását, valamint csapdák létrehozását és beállítását. Az állati tetemek vadászata és mészárlása képezi ezt a képességet.","L'abilità di caccia ti consente di cacciare in modo più efficace gli animali selvatici, macellare le loro carcasse e creare e impostare trappole. La caccia e la macellazione di carcasse di animali allena questa abilità.","La habilidad de caza te permite cazar animales salvajes de manera más efectiva, matar sus cadáveres y crear y colocar trampas. La caza y matanza de cadáveres de animales entrena esta habilidad.","La catégorie de compétence Chasse vous permet de chasser les animaux plus efficacement, de dépecer leurs carcasses et de poser des pièges. Entraînez cette compétence en chassant et en dépeçant des animaux.",狩獵技能類別可讓您更有效地捕獵動物、屠宰其屍體並設置陷阱。透過狩獵和屠宰動物來訓練這項技能。,狩猟スキルを使用すると、野生動物をより効果的に狩り、死体を屠殺し、トラップを作成して設定することができます。 動物の死骸の狩猟と屠殺は、このスキルを訓練します。,"A habilidade de caça permite-lhe caçar animais selvagens de forma mais eficaz, abater as suas carcaças e criar e montar armadilhas. A caça e o abate de carcaças de animais treinam esta habilidade.",狩獵技能可以讓你更有效地狩獵野生動物，屠宰他們的屍體，並創建和設置陷阱。 狩獵和屠宰動物屍體訓練這種技能。,
STR_TERJESKILL_FISHING_DESC,"The Fishing skill category improves your ability to catch fish, craft fishing gear, and set fishing traps. Train this skill by fishing.","The Fishing skill category improves your ability to catch fish, craft fishing gear, and set fishing traps. Train this skill by fishing.","Rybářská dovednost vám umožňuje efektivněji chytat ryby, vytvářet a používat rybářské náčiní a pasti. Rybařte trénovat tuto dovednost.","Die Fischereifähigkeit ermöglicht es Ihnen, effektiver zu fischen, Angelgeräte und Fallen zu erstellen und zu verwenden. Fang einen Fisch, um diese Fähigkeit zu trainieren.","Навык рыбалки позволяет вам более эффективно ловить рыбу, создавать и использовать рыболовные снасти и ловушки. Ловите рыбу чтобы тренировать этот навык.","Umiejętność łowienia ryb pozwala ci łowić skuteczniej, tworzyć i używać sprzętu wędkarskiego i pułapek. Łap ryby, aby trenować tę umiejętność.","A halászati készség lehetővé teszi, hogy hatékonyabban halászhasson, halászeszközöket és csapdákat hozzon létre és használjon. Halakat, hogy a vonat ezt a képességet.","L'abilità di pesca ti consente di pescare, creare e utilizzare attrezzi da pesca e trappole in modo più efficiente. Pesca per allenare questa abilità.","La habilidad de Pesca le permite pescar de manera más eficiente, crear y usar aparejos de Pesca y trampas. Captura peces para entrenar esta habilidad.","La catégorie de compétence Pêche améliore votre capacité à attraper du poisson, à fabriquer du matériel de pêche et à poser des pièges à poissons. Entraînez cette compétence en pêchant.",釣魚技能類別可以提高您捕魚、製作釣具和設置釣魚陷阱的能力。透過釣魚來訓練這項技能。,釣りのスキルを使用すると、より効率的に釣りをしたり、漁具や罠を作成して使用したりできます。 このスキルを訓練するために魚を捕まえる。,"A habilidade de pesca permite que você capture peixes com mais eficiência, crie e use equipamentos de pesca e armadilhas. Pesca para treinar essa habilidade.",釣魚技能類別可以提高您捕魚、製作釣具和設置釣魚陷阱的能力。透過釣魚來訓練這項技能。,
STR_TERJEPERK_STRNG_MASTERSWORD,Master of Sword,Master of Sword,Mistr meče,Meister des Schwertes,Мастер меча,Mistrz miecza,A kard mestere,Maestro di spada,Maestro de la Espada,Maître d'Armes,劍術大師,剣の達人,Mestre da Espada,剑术大师,
STR_TERJEPERK_REQUIRED_MSG,Perk required,Perk required,Je vyžadována výhoda,Vorteil erforderlich,Требуется перк,Wymaga atutu,Perk szükséges,Vantaggio richiesto,Beneficio requerido,Compétence requise,需要額外技能,パークが必要です,Você não pode carregar objetos grandes sem a vantagem de 'mãos fortes'.,需要額外技能,
STR_TERJESKILL_NEWLEVEL_MSG1,Your skill category,Your skill category,Úroveň dovedností,Skill-Level,Уровень навыка,Poziom umiejętności,Képzettségi Szint,Livello di abilità,Nivel de habilidad,Votre catégorie de compétence,你的技能類別,スキルレベル,Nível de habilidade,技能水平,
STR_TERJESKILL_NEWLEVEL_MSG2,has ranked up to,has ranked up to,povýšen na,erhöht auf,повышен до,został podniesiony do,frissítve,promosso a,actualizado a,a atteint le niveau,已升級到,にアップグレード,promovido a,已升級到,
STR_TERJESKILL_NEWLEVEL_MSG3,Open your inventory to view your skills and activate perks.,Open your inventory to view your skills and activate perks.,Otevřete inventář pro zobrazení vašich dovedností a aktivaci perků.,"Öffnen Sie das Inventar, um Ihre Fähigkeiten zu überprüfen und Vergünstigungen zu aktivieren.",Откройте инвентарь для просмотра ваших навыков и активации умений.,"Otwórz ekwipunek, aby wyświetlić swoje umiejętności i je aktywować.","Nyissa meg a leltár, hogy megtekinthesse a készségek és aktiválja perks.",Apri l'inventario per visualizzare le tue abilità e attivare i vantaggi.,Abra el inventario para ver sus habilidades y activar los beneficios.,Ouvrez votre inventaire pour voir vos compétences disponibles et les activer.,打開您的庫存以查看您的技能和啟用技能。,あなたのスキルを表示し、特典を有効にするためにあなたのインベントリを開きます。,Abra o inventário para visualizar suas habilidades e ativar as vantagens.,打開您的庫存以查看您的技能和啟用技能。,
STR_TERJESKILL_MISC17,THE PERK IS NOT ACTIVE,THE PERK IS NOT ACTIVE,PERK NENÍ AKTIVNÍ,PERK IST NICHT AKTIV,ПЕРК НЕ АКТИВЕН,ATUT NIE JEST AKTYWNY,A PERK NEM AKTÍV,PERK NON ATTIVO,PERK NO ACTIVO,AVANTAGE NON ACTIF,技能未激活,特典が有効ではありません,PERK NÃO ESTÁ ATIVO,技能未激活,
STR_TERJESKILL_SURV_CRAFTS,Bushcrafter,Bushcrafter,Bushcrafter,Bushcrafter,Самоделкин,Bushcrafter,Bushcrafter,Bushcrafter,Bushcrafter,Faucheuse,叢林工匠,ブッシュクラフター,Bushcrafter,叢林工匠,
